x1,x2,x3,x4,survived
54,28,42,32,1
73,9,67,63,1
72,12,4,27,0
79,81,15,51,0
27,63,17,51,1
89,36,33,66,1
52,18,64,37,1
7,19,30,23,1
82,74,0,80,0
95,52,39,30,1
41,74,27,52,1
61,23,42,56,1
84,44,40,84,1
29,69,57,57,0
65,79,86,10,1
93,6,4,51,0
55,74,61,3,0
3,50,51,63,1
72,33,1,13,1
75,96,90,48,0
92,23,74,15,0
68,51,33,20,0
1,56,68,56,0
90,27,32,30,1
1,9,39,39,1
82,58,15,40,1
98,93,36,59,0
88,7,41,52,0
92,2,1,66,0
29,45,49,94,0
51,49,40,2,0
13,20,13,33,0
59,69,47,28,0
25,2,17,36,1
18,9,89,53,1
67,64,43,81,1
94,20,84,55,0
63,12,49,74,1
14,32,40,0,1
19,71,97,9,0
97,29,85,96,0
52,69,68,46,0
98,46,91,10,1
95,96,53,3,1
39,6,38,76,0
68,10,98,90,0
12,33,69,10,1
41,44,27,7,1
79,5,91,62,0
56,30,41,3,1
65,20,84,75,1
23,16,11,59,1
69,82,3,69,0
86,79,91,78,0
63,94,67,32,0
52,74,3,63,0
74,93,99,78,0
21,2,14,19,0
83,41,5,99,1
14,64,52,78,0
96,58,21,17,1
93,72,79,16,1
87,5,27,97,1
22,86,40,76,0
53,49,56,69,0
97,39,38,62,1
17,64,51,98,0
56,7,46,7,1
48,7,79,11,1
49,18,94,95,1
81,29,89,17,1
75,10,74,45,1
94,11,17,22,1
53,87,69,76,1
93,55,88,78,0
67,23,65,51,0
63,85,9,90,0
91,59,33,77,1
69,32,60,60,0
3,19,22,42,0
39,76,81,19,0
83,56,34,16,0
18,83,92,39,1
45,95,68,40,0
31,19,54,62,0
40,56,16,98,1
4,47,7,48,1
6,19,32,35,1
93,62,41,30,1
49,76,15,91,0
39,54,15,46,1
27,4,41,0,0
23,22,47,40,1
2,52,79,53,0
1,66,12,61,1
72,1,29,45,1
95,99,22,71,0
43,43,13,32,0
56,84,32,7,0
33,94,97,84,1
48,15,78,79,1
75,1,51,54,1
3,65,94,47,0
72,60,93,28,1
17,94,89,76,1
49,91,47,66,1
90,86,76,62,0
14,48,98,88,1
82,61,30,26,1
42,48,19,99,1
52,26,43,48,0
50,95,46,11,1
87,96,60,84,1
77,1,57,83,0
83,87,66,68,0
54,86,2,68,0
28,26,6,43,1
9,75,90,96,0
43,22,30,30,0
15,71,71,72,0
33,82,4,9,0
30,28,33,19,1
33,85,51,60,0
95,83,57,35,0
60,25,55,86,1
66,29,61,81,0
67,4,48,38,0
78,54,44,69,0
22,95,88,22,1
71,21,43,22,1
38,55,75,87,1
41,40,6,84,0
38,47,3,94,1
32,70,8,0,0
59,14,24,88,0
16,24,97,63,0
87,6,52,45,1
28,95,39,0,1
0,51,2,17,0
97,22,64,60,0
34,45,4,50,0
67,79,61,31,1
19,6,36,38,1
37,1,47,36,0
80,7,40,97,1
30,6,52,7,0
52,34,2,77,0
28,90,32,86,1
40,4,30,51,0
28,25,93,35,0
3,80,30,88,1
94,65,66,10,0
47,1,49,67,1
63,80,3,47,1
44,81,47,6,1
34,66,4,53,0
89,88,11,25,1
53,80,90,42,1
60,38,50,34,1
75,63,23,48,0
21,10,87,12,0
22,47,43,8,1
95,71,60,53,1
12,45,73,60,0
12,26,46,16,1
80,63,22,43,0
39,35,67,46,0
97,71,69,87,0
22,37,11,77,0
25,87,36,2,0
94,33,4,36,0
27,89,34,91,1
1,8,57,1,0
82,82,28,48,1
57,54,38,91,1
76,1,53,54,0
89,11,5,78,1
83,59,91,66,0
72,16,32,6,0
47,64,1,59,1
82,68,41,24,0
47,32,4,31,1
3,86,38,59,1
16,98,29,74,1
83,59,57,76,0
55,19,88,8,0
37,21,95,16,0
55,36,72,93,0
56,36,14,80,1
74,52,41,88,0
59,88,21,83,1
98,26,8,36,1
89,25,80,26,1
19,70,54,54,0
53,38,87,27,0
53,64,46,94,1
28,66,51,32,1
66,85,66,57,0
5,63,46,24,1
15,60,77,39,1
33,0,91,14,1
8,78,90,42,1
88,24,29,19,1
53,2,76,6,1
22,45,68,32,0
13,4,75,97,0
91,86,64,4,1
63,4,30,6,1
25,54,88,47,1
48,53,58,17,0
58,32,23,88,1
4,27,87,20,1
71,52,73,95,0
46,36,29,68,0
12,79,78,87,1
47,4,97,81,1
16,35,1,49,1
18,1,85,42,0
62,64,86,73,0
69,36,21,67,0
76,0,79,68,0
68,34,11,93,0
74,16,26,35,1
84,68,2,83,0
74,41,91,19,1
86,93,15,37,1
0,66,39,65,0
42,20,31,75,1
15,73,87,1,0
7,4,24,3,0
60,93,41,3,0
6,26,91,90,1
17,35,55,55,0
77,93,73,60,0
60,51,16,12,0
3,75,95,62,1
52,57,74,43,1
86,79,56,9,0
62,24,1,18,1
64,68,41,5,0
53,44,67,71,1
27,68,81,58,0
76,88,77,37,0
10,29,52,43,1
73,58,32,23,0
21,62,72,92,0
17,92,73,80,0
89,59,46,9,1
3,52,23,20,1
0,9,57,85,0
28,64,35,7,0
26,31,92,5,1
91,55,76,63,1
30,0,77,88,0
41,8,73,22,1
75,9,98,97,0
